id,name,latitude,longitude,type,category,address,rating,openingHours,description
LOC01,Sheshi Toka Jonë,40.9426,19.70617,LANDMARK,Vende Turistike,Qendra e Qytetit,4.5,Gjithë ditën,"Sheshi kryesor i Lushnjes, zemra e qytetit me pemë dhe fontana dekorative."
LOC02,Spitali i Lushnjes,40.93369,19.71117,HOSPITAL,Spitale,Rruga Spitalit,4.2,24/7,"Spitali rajonal i Lushnjes me shërbime emergjente dhe ambulatore."
LOC03,Shkolla 9-Vjeçare Skënder Libohova,40.94064,19.70433,SCHOOL,Shkolla,Rruga Luigj Gurakuqi,3.8,08:00-14:00,"Shkollë fillore e mesme e njohur në qendër të Lushnjes."
LOC04,Tregu Fruta-Perime,40.95108,19.68945,MARKET,Tregu,Rruga e Tregut,4.0,06:00-14:00,"Tregu kryesor i fruta-perimeve dhe ushqimeve të freskëta."
LOC05,Bashkia Lushnje,40.943,19.70612,GOVERNMENT,Institucione,Bulevardi Skënderbeu,3.9,08:00-16:00,"Ndërtesa e Bashkisë Lushnje, qendra administrative e qytetit."
LOC06,Stacioni i Autobuseve,40.93994,19.6993,TRANSPORT_HUB,Stacione Autobusi,Rruga e Kavajës,3.5,05:00-22:00,"Terminali kryesor i autobuseve ndërqytetëse dhe rajonale."
LOC07,Parku Qendror,40.94053,19.70664,PARK,Parke,Rruga Parku,4.6,06:00-22:00,"Parku qendror i Lushnjes me pemë shumëvjeçare, stola dhe hapësirat e lojërave."
LOC08,Lagja Gafurr Muco,40.93688,19.70197,RESIDENTIAL,Lagje,Rruga Abdyl Frashëri,3.0,24/7,"Lagje rezidenciale në jugperëndim të qendrës."
LOC09,Gjimnazi 18 Tetori,40.9413,19.70489,SCHOOL,Shkolla,Rruga Teknike,4.1,08:00-14:00,"Gjimnazi i njohur '18 Tetori', njëri ndër shkollat me tradita në Lushnje."
LOC10,Kryqëzimi i Ypsilonit,40.94077,19.70175,INTERSECTION,Rrugë,Rruga Qendrore,3.0,24/7,"Kryqëzimi kryesor në zemër të Lushnjes, pikë e rëndësishme orientimi."
LOC11,Hotel Pilo Lala,40.94329,19.70448,LANDMARK,Hotele,Rruga Kongresi Lushnjes,4.3,24/7,"Hotel 3 yje në qendër të Lushnjes me restorant dhe sallë konferencash."
LOC12,Kisha Ortodokse,40.94467,19.70682,LANDMARK,Vende Turistike,Rruga Ismail Qemali,4.4,09:00-18:00,"Kisha ortodokse historike e Lushnjes, monument kulture."
LOC13,Xhamia e Lushnjes,40.94287,19.70765,LANDMARK,Vende Turistike,Bulevardi Skënderbeu,4.5,05:00-21:00,"Xhamia e vjetër qendrore, simbol historik i qytetit."
LOC14,Stadiumi Roza Haxhiu,40.93577,19.70966,LANDMARK,Vende Turistike,Rruga Skënderbej,4.0,08:00-20:00,"Stadiumi kryesor i futbollit në Lushnje."
